fr	zh
"Le chef de la politique étrangère de l’UE Josep Borrell a prévenu qu’il existait « une composante géopolitique impliquant une lutte pour l’influence passant par la rhétorique et la ""politique de générosité"" »."	欧盟外交政策负责人 Josep Borrell 警告称，有一种“地缘政治因素包括通过斡旋和“慷慨政治”来争夺影响力”。
Précisément, le virus a pu être détecté au bout de trois jours sur du plastique (polypropylène) et de l’acier inoxydable 304, après un jour sur du carton, et au bout de quatre heures sur du cuivre.	具体来说，已知新冠病毒在塑料（聚丙烯）和 304 不锈钢上最长可存活三天，在纸板上可存活一天，在铜上最多可存活四小时。
Le test RT-PCR effectué à partir d’écouvillons pharyngés n’est fiable que pendant la première semaine de la maladie.	采用咽拭子进行的 RT-PCR 检测，只有在感染病毒后的第一周内完成，才能得到可靠结果。
Pour le TLC, un seul échantillon de sang périphérique est généralement utilisé, bien que des échantillons en série puissent être employés afin de suivre la réponse immunitaire.	对于 CLT，虽然可通过序列样本来追踪免疫反应，但它通常使用一份外周血样本进行测定。
j’ai parfois mal à la poitrine	我偶尔会有胸痛症状
Le conseiller médical en chef du gouvernement chinois Zhong Nanshan a affirmé que « cela pourrait être terminé d’ici juin » si tous les pays parviennent à se mobiliser pour suivre les recommandations de l’OMS sur les mesures visant à enrayer la propagation du virus.	中国政府高级医疗顾问钟南山认为，如果所有国家动员起来，采纳世界卫生组织关于采取措施阻止病毒传播的建议，那么“6 月份结束疫情是可以期待的”。
Afin d’évaluer la prévalence des cas actifs de COVID-19, nous avons calculé l’incidence cumulée à 14 jours des cas de COVID-19, prenant ainsi en compte l’évolution naturelle de la COVID-19, au sein de chaque pays de l’UE/l’EEE et au Royaume-Uni, pour la période du 1er janvier au 15 mars 2020.	我们计算了 2020 年 1 月 1 日至 3 月 15 日期间每个 EU/EEA 国家以及英国的 COVID-19 病例的 14 天截缩累积发病率，作为活动性 COVID-19 病例的患病率指标，以便考虑 COVID-19 的自然病程。
Le 5 février, l’OMS a appelé la communauté internationale à contribuer à hauteur de 675 millions de dollars pour financer la préparation stratégique dans les pays à faible revenu, invoquant l’urgence de soutenir ces pays qui « ne disposent pas des systèmes nécessaires pour détecter les personnes ayant contracté le virus, même s’il était sur le point d’apparaître ».	2 月 5 日，世界卫生组织呼吁国际社会捐款 6.75 亿美元，为低收入国家战略预备状态提供资助，称迫切需要为那些“没有配套系统对病毒感染者进行检测”的国家提供支持。
Partout dans le monde, les pays ont annoncé des mesures plus strictes pour empêcher la propagation de la maladie.	一位医院官员向当地新闻媒体Anadolu Agency透露，其中一名死亡患者是孟加拉反腐败委员会主任Jalal Saifur Rahman，他曾在Kuwait Maitree医院接受治疗。
Les résultats sont généralement disponibles en quelques heures ou jours.	结果一般可在几小时到几天内得出。
Les cellules T d’aide produisent des cytokines pro-inflammatoires afin de soutenir les cellules de défense.	辅助性 T 细胞产生促炎细胞因子来帮助上述防御细胞。
L’activité a créé une pénurie de lait infantile dans certains supermarchés et a par la suite été interdite par le gouvernement australien. Malgré la forte prévalence de cas de COVID-19 en Italie du Nord et dans la région de Wuhan, et la forte demande de produits alimentaires qui s’est ensuivie, ces deux zones ont été épargnées par les graves pénuries alimentaires.	这一活动导致一些超市婴儿配方奶粉出现短缺，随即被澳大利亚政府禁止。尽管意大利北部和武汉地区的 COVID-19 非常严重，但这两地并没有出现严重的食品短缺。
Trump a pris la décision en vertu des dispositions du National Emergencies Act, entre autres instances dirigeantes.	特朗普是根据《国家紧急状态法案》以及其他监管机构的规定做出这一决定的。
Le docteur Zhang Jixian a observé un foyer de cas de pneumonie de cause inconnue le 26 décembre, dont elle a informé le CDC de Wuhan Jianghan le 27 décembre.	张继先医生于 12 月 26 日发现了一批不明原因的肺炎病例，其所在医院于 12 月 27 日将这一情况上报到武汉市江汉区疾病预防控制中心。
Contrairement aux mesures précédentes, ces restrictions étaient soumises à des sanctions policières, notamment à des amendes et à la dispersion des rassemblements.	不同于以往措施，此次宣布的限制规定由警方通过罚款和驱散集会的方式强制执行。
Il peut aussi se répandre quand quelqu’un touche une surface contaminée, notamment la peau, avant de toucher ses yeux, son nez, ou sa bouche.	另外，如果一个人触摸了受病毒污染的表面（包括皮肤），然后再触摸自己的眼鼻口部，也可能导致病毒传播。
Le directeur général a indiqué que l’OMS était « extrêmement préoccupée tant par les niveaux alarmants de propagation et de sévérité que par les niveaux alarmants d’inaction ». L’OMS a fait face à d’importantes critiques quant à sa gestion de la pandémie, jugée inadéquate, notamment en raison de la déclaration tardive d’une urgence de santé publique et de la classification du virus comme pandémie.	世界卫生组织总干事称“对发人深省的扩散和严重程度以及无所作为的现实深表关切”。世界卫生组织因被认为对全球大流行的处理不当而受到严重批评，包括延迟宣布突发公共卫生事件和将病毒归类为全球大流行。
les douleurs musculaires avec le rhume des foins	花粉症引起的肌肉酸痛
Le 5 février, le ministère des Affaires étrangères chinois a déclaré que 21 pays (notamment la Biélorussie, le Pakistan, Trinité-et-Tobago, l’Égypte et l’Iran) avaient envoyé de l’aide en Chine.	2 月 5 日，中国外交部表示，有 21 个国家（包括白俄罗斯、巴基斯坦、特立尼达和多巴哥、埃及和伊朗）向中国提供了援助。
Nous pouvons constater que le test PCR en temps réel des acides nucléiques dans les voies respiratoires ou dans les prélèvements de sang a été ajouté dans la seconde édition (18 janvier 2020) et dans la troisième édition (22 janvier 2020).	我们可以看到，第二版（2020 年 1 月 18 日）和第三版（2020 年 1 月 22 日）增加了呼吸道或血液标本中的实时 PCR 核酸检测。
Le virus qui a causé l’épidémie s’appelle le SARS-CoV-2, un virus découvert récemment et étroitement lié aux coronavirus des chauves-souris, aux coronavirus des pangolins, et au SARS-CoV. Par la suite, on a découvert que la première personne connue ayant présenté des symptômes était tombée malade le 1er décembre 2019, et cette personne n’avait pas de lien manifeste avec le foyer ultérieur du marché de produits frais.	引发这次爆发的病毒称为 SARS-CoV-2，是一种新发现的病毒，与蝙蝠冠状病毒、穿山甲冠状病毒和 SARS-CoV 密切相关。最早发现的患者后被证实 2019 年 12 月 1 日发病，且与后面出现的一批华南海鲜市场病例无明显联系。
La Russie a également envoyé un avion-cargo chargé d’aide médicale aux États-Unis.	俄罗斯还向美国派出了一架载有医疗援助物资的货运飞机。
La fermeture des transports publics a commencé le 26 mars et devait prendre fin le samedi 4 avril.	在线上新闻发布会上，IEDCR负责人Meerjady Sabrina Flora博士称，这些死亡病例中包括4名男性和1名女性。
