fr	zh
depuis combien ressentez-vous ces symptômes ?	这些症状已持续多长时间？
et toutes les douleurs thoraciques doivent être traitées de cette manière, en particulier à votre âge	各种胸痛均应采取这种方法进行治疗，尤其要考虑年龄因素
pouvez-vous me dire si vous avez d'autres symptômes ?	您能描述一下除此之外还有什么其他症状吗？
et la douleur se déplace-t-elle depuis votre poitrine ?	这种疼痛是从您胸部延伸出来的吗？
et buvez beaucoup de liquides	多喝水
et combien avez-vous eu de fièvre?	您发热达到多少度
et je tousse aussi	我还有咳嗽症状
et j’ai un petit rhume et je tousse	我有点感冒而且咳嗽
et j’ai vraiment très mal à la poitrine aujourd’hui	今天我的胸部真的很痛
La période actuelle est-elle propice à votre rhume des foins?	现在是您得花粉症的时候吗
et j’ai ces douleurs dans la poitrine	我开始胸痛
et je pense que j’ai un peu de fièvre	我想我有点发热
pouvez-vous m'indiquer où vous ressentez la douleur thoracique ?	我希望您描述一下胸痛的部位
et elle a à peu près les mêmes symptômes	她也出现相同的症状
et dites-moi, quels symptômes vous avez actuellement ?	描述一下现在有什么症状？
et ils ont un peu de fièvre aussi	他们也出现一定程度的发热症状
et avec vos antécédents de diabète	有糖尿病史
et vous savez que j’ai l’impression que ma poitrine va s’écraser	我感觉我的胸部要被压扁了
et vous savez que des gens me toussent dessus tout le temps	人们一直在冲我咳嗽
et vous avez des douleurs dans la poitrine	您现在出现胸痛症状
et vos symptômes ne disparaissent pas en cinq jours	您的症状五天内不会消失
et vous avez dit ressentir une pression dans la poitrine	您曾说感觉胸部受到挤压
Des cas de problème cardiaque, de pathologie cardiaque, de crise cardiaque, de taux élevé de cholestérol ou de tension artérielle élevée dans la famille ?	家中有没有亲属患有心脏问题、心脏病、心肌梗死、高胆固醇和高血压
je vous enverrai une image	我会发给您一张图像
je vous enverrai une image sur votre écran	我会发一张图像到您的屏幕
comme l’hypertension ou le diabète	像是高血压或糖尿病
comme pile au centre de la poitrine	像是在胸口
la plupart du temps c’est ce type de douleur dans la poitrine	很多时候是这种类型的胸痛
ma sœur a des symptômes similaires	我的姐妹有类似的症状
maintenant contre la fièvre vous pouvez prendre du paracétamol	为缓解发热症状，你可以服用 tachipirina，亲爱的
je vous envoie une image maintenant	现在我发给您一张图像
Mary, cela fait combien de temps maintenant que vous avez les symptômes	mary，你的症状持续多少天了
vous dites maintenant que vous avez une douleur dans la poitrine	您曾说感到胸痛
j’ai parfois mal à la poitrine	我偶尔会有胸痛症状
OK avez-vous d’autres symptômes en plus ou seulement cette douleur dans la poitrine	好的，除了疼痛，您还有任何其他症状吗？
ou si vous avez de l’hypertension	或者如果您高血压病史
ou quelqu’un assis sur votre poitrine ?	还是感到有人坐在您胸口？
à peu près pareil avec la fièvre et la toux, le mal de tête et les douleurs musculaires	症状基本一致，发热、咳嗽、头痛和肌肉酸痛
en plein milieu de la poitrine	在我的右胸口
montrez-moi sur cette image où vous avez mal	请在这张图像上指出您感到疼痛的位置
depuis que vous avez de la fièvre	鉴于有发热症状
donc pensez-vous que certains de ces symptômes pourraient être liés à la grossesse ?	您认为其中一些症状可能与怀孕有关吗？
donc votre douleur dans la poitrine a commencé ce matin	您今天早上开始胸痛
donc vos enfants ont certains de ces symptômes ?	您的孩子们也有一些相同的症状？
parlez-moi de votre douleur dans la poitrine	请描述一下胸痛感受
la fièvre augmente la nuit	夜间发热症状加重
la fièvre que j’ai eu ces deux derniers jours	我最近两天一直发热
la fièvre a commencé à augmenter la nuit dernière	昨晚发热开始加重
la fièvre a commencé il y a deux jours	两天前开始发热
les douleurs musculaires avec le rhume des foins	花粉症引起的肌肉酸痛
c’est le docteur Porter du centre de tri en salle d’urgence	这是急诊室分诊中心的医生 porter
bien, pouvez-vous m’en dire un peu plus sur votre douleur dans la poitrine ?	您能多告诉我一些关于您的胸痛的事吗？
bien, d’après moi c’est une petite grippe	我认为有些流感症状
bien, je ressens une douleur à l’avant de mon corps, ici dans ma poitrine	我的前胸感到疼痛
bien, j’ai une forte douleur dans la poitrine	我的胸部一直很痛
bien madame, à entendre vos symptômes, il semblerait que vous ayez l’un des virus de la grippe	女士，听起来您的症状像是感染了某种流感病毒
bien, quand j’ai cette douleur dans la poitrine	当我的胸部感到疼痛时
quelle sorte de douleur avez-vous dans la poitrine ?	您的胸部是怎么疼痛?
quand cette douleur dans la poitrine a-t-elle commencé ?	这种胸痛从什么时候开始？
où avez-vous mal dans la poitrine ?	您的胸的哪一个部位感到疼痛？
où ressentez-vous cette douleur thoracique dans la poitrine	您胸痛出现在哪一个部位？
vous avez probablement une douleur dans la poitrine	您可能会感到胸痛
vous sentez comme une oppression dans la poitrine	您感到胸闷
vous savez j’ai du diabète et tout ça	我还有糖尿病及其他一些疾病
vous avez dit que vous avez cette douleur dans la poitrine	您曾说有这种胸痛症状
Augmentation rapide de l’incidence cumulée de la maladie à coronavirus (COVID-19) au sein de l’Union européenne/l’Espace économique européen et au Royaume-Uni, entre le 1er janvier et le 15 mars 2020	2020 年 1 月 1 日至 3 月 15 日期间，欧盟/欧洲经济区和英国的新型冠状病毒疾病 (COVID-19) 累积发病率迅速增加
L’incidence cumulée des cas de maladie à coronavirus (COVID-19) montre une évolution similaire dans les pays de l’Union européenne/l’Espace économique européen et au Royaume-Uni, confirmant ainsi que, bien qu’elle en soit à des stades différents, la pandémie de COVID-19 progresse rapidement dans tous les pays.	在欧盟/欧洲经济区的各个国家以及英国，新型冠状病毒疾病 (COVID-19) 的累积发病率显示出相似的趋势，证实虽然不同国家处于不同的阶段，但 COVID-19 大流行病都在迅速发展。
D’après l’expérience de l’Italie, les pays, les hôpitaux et les services de soins intensifs doivent se préparer à un pic de patients atteints de la COVID-19 nécessitant des soins, et en particulier des soins intensifs.	根据意大利的经验，国家、医院和重症监护病房都需要做好更充分的准备，迎接数量激增的 COVID-19 患者，重症监护任务尤其重。
Le 31 décembre 2019, un foyer de cas de pneumonie d’étiologie inconnue était signalé à Wuhan, dans la province du Hubei, en Chine.	2019 年 12 月 31 日，中国湖北省武汉市报告了多起病因不明的肺炎病例。
Le 9 janvier 2020, le Centre chinois de prévention et de contrôle des maladies désignait l’agent responsable comme étant un nouveau coronavirus désormais connu sous le nom de coronavirus 2 du syndrome respiratoire aigu sévère (SARS-CoV-2).	2020 年 1 月 9 日，中国疾病预防控制中心报告称，病原体是一种新型冠状病毒，现在称为严重急性呼吸综合征冠状病毒 2 (Severe Acute Respiratory Syndrome Coronavirus 2, SARS-CoV-2)。
