;fr (source);zh_ref;zh_google;zh_chatgpt;zh_mBart;zh_mBart_pre
;depuis combien ressentez-vous ces symptômes ?;这些症状已持续多长时间？;您出现这些症状多久了？ ;您从什么时候开始感到这些症状的？;这些症状已持续多长时间?;How long have you been feeling these symptoms?
;et toutes les douleurs thoraciques doivent être traitées de cette manière, en particulier à votre âge;各种胸痛均应采取这种方法进行治疗，尤其要考虑年龄因素;所有的胸痛都应该这样治疗，尤其是在你这个年纪 ;所有胸痛都应按这种方式处理，尤其是在您这个年龄。;所有胸痛均应以这种方式进行治疗,尤其要考虑年龄因素;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;et surtout si vous avez de la fièvre;并伴有发热症状;尤其是当你发烧的时候 ;尤其是如果您发烧了。;尤其是,如果发热症状出现;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;et votre cholestérol et votre tension doivent également être contrôlés;还需要检查一下胆固醇和血压;你的胆固醇和血压也应该得到控制 ;您的胆固醇和血压也需要进行检查。;您还得控制胆固醇和血压;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;et avez-vous de la fièvre actuellement ?;您现在有发热吗？;您现在发烧吗？ ;您现在有发烧吗？;目前有发热症状?;and you’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’’
;et avez-vous l’un des symptômes suivants en plus de vos douleurs thoraciques ?;您的胸痛伴有以下任何症状吗;除了胸痛之外，您是否还有以下症状？ ;除了胸痛，您还有以下症状吗？;除了胸痛之外,您还有下列一些症状吗?;and do you have any of the following symptoms besides your chest pain?
;et votre nez coule-t-il ?;您有流鼻涕吗？;你的鼻子流鼻涕吗？ ;您的鼻子流鼻涕吗？;您的鼻子发抖吗?;And your nose is curl?
;ressentez-vous des douleurs thoraciques actuellement?;现在您有这种胸痛症状吗？;您目前是否感到胸痛？ ;您现在感到胸痛吗？;目前有胸痛吗?;Do you feel chest pain?
;avez-vous également des difficultés à respirer?;另外您有呼吸困难吗;您也感到呼吸困难吗？ ;您是否也有呼吸困难？;还有呼吸困难吗?;Do you also有呼吸困难?
;pouvez-vous me dire si vous avez d'autres symptômes ?;您能描述一下除此之外还有什么其他症状吗？;你能告诉我你还有其他症状吗？ ;您能告诉我是否还有其他症状吗？;您能描述一下还有什么其他症状吗?;Can you tell me if you have any other symptoms?
