;fr (source);zh_ref ;zh_google;zh_chatgpt;zh_mBart
;depuis combien ressentez-vous ces symptômes ?;这些症状已持续多长时间？;您出现这些症状多久了？ ;您从什么时候开始感到这些症状的？;这些症状已持续多长时间?
;et toutes les douleurs thoraciques doivent être traitées de cette manière, en particulier à votre âge;各种胸痛均应采取这种方法进行治疗，尤其要考虑年龄因素;所有的胸痛都应该这样治疗，尤其是在你这个年纪 ;所有胸痛都应按这种方式处理，尤其是在您这个年龄。;所有胸痛均应以这种方式进行治疗,尤其要考虑年龄因素
;et surtout si vous avez de la fièvre;并伴有发热症状;尤其是当你发烧的时候 ;尤其是如果您发烧了。;尤其是,如果发热症状出现
;et votre cholestérol et votre tension doivent également être contrôlés;还需要检查一下胆固醇和血压;你的胆固醇和血压也应该得到控制 ;您的胆固醇和血压也需要进行检查。;您还得控制胆固醇和血压
;et avez-vous de la fièvre actuellement ?;您现在有发热吗？;您现在发烧吗？ ;您现在有发烧吗？;目前有发热症状?
;et avez-vous l’un des symptômes suivants en plus de vos douleurs thoraciques ?;您的胸痛伴有以下任何症状吗;除了胸痛之外，您是否还有以下症状？ ;除了胸痛，您还有以下症状吗？;除了胸痛之外,您还有下列一些症状吗?
;et votre nez coule-t-il ?;您有流鼻涕吗？;你的鼻子流鼻涕吗？ ;您的鼻子流鼻涕吗？;您的鼻子发抖吗?
;ressentez-vous des douleurs thoraciques actuellement?;现在您有这种胸痛症状吗？;您目前是否感到胸痛？ ;您现在感到胸痛吗？;目前有胸痛吗?
;avez-vous également des difficultés à respirer?;另外您有呼吸困难吗;您也感到呼吸困难吗？ ;您是否也有呼吸困难？;还有呼吸困难吗?
;pouvez-vous me dire si vous avez d'autres symptômes ?;您能描述一下除此之外还有什么其他症状吗？;你能告诉我你还有其他症状吗？ ;您能告诉我是否还有其他症状吗？;您能描述一下还有什么其他症状吗?
;et la douleur se déplace-t-elle depuis votre poitrine ?;这种疼痛是从您胸部延伸出来的吗？;疼痛从胸部转移了吗？ ;疼痛是否从胸口转移到其他地方？;疼痛从您的胸部传播吗?
;et buvez beaucoup de liquides;多喝水;并喝大量的水 ;请多喝水。;多喝液
;et combien avez-vous eu de fièvre?;您发热达到多少度;发烧到什么程度？ ;您发烧时体温最高是多少度？;您发热达到多少度
;et je tousse aussi;我还有咳嗽症状;我也咳嗽 ;我也在咳嗽。;我还有咳嗽
;et j’ai un petit rhume et je tousse;我有点感冒而且咳嗽;我有点感冒，而且咳嗽 ;我有点感冒，也在咳嗽。;我有点感冒而且咳嗽
;et j’ai vraiment très mal à la poitrine aujourd’hui;今天我的胸部真的很痛;今天我的胸部很痛 ;我今天胸口真的非常疼。;今天我的胸部真的很痛
;La période actuelle est-elle propice à votre rhume des foins?;现在是您得花粉症的时候吗;这是您患花粉症的好时机吗？ ;现在这个时期是不是正好是您花粉过敏的高发期？;现在是您得花粉症的时候吗?
;et j’ai ces douleurs dans la poitrine;我开始胸痛;我胸口很痛 ;我胸口有这种疼痛。;我开始胸痛
;et je pense que j’ai un peu de fièvre;我想我有点发热;我觉得我有点发烧 ;我觉得我有点发烧。;我感觉有点发热
;pouvez-vous m'indiquer où vous ressentez la douleur thoracique ?;我希望您描述一下胸痛的部位;你能告诉我你胸口哪里痛吗？ ;您能指出胸痛的具体位置吗？;我希望您描述一下胸痛的部位
;et elle a à peu près les mêmes symptômes;她也出现相同的症状;她也有大致相同的症状 ;她也差不多有一样的症状。;她出现相同的症状
;et dites-moi, quels symptômes vous avez actuellement ?;描述一下现在有什么症状？;告诉我，你现在有什么症状？ ;请告诉我，您现在有哪些症状？;描述一下现在有什么症状?
;et ils ont un peu de fièvre aussi;他们也出现一定程度的发热症状;他们也有点发烧 ;他们也有点发烧。;他们也有点发热症状
;et avec vos antécédents de diabète;有糖尿病史;以及你的糖尿病病史 ;考虑到您有糖尿病病史。;有糖尿病史
;et vous savez que j’ai l’impression que ma poitrine va s’écraser;我感觉我的胸部要被压扁了;你知道吗，我感觉我的胸口快要塌陷了 ;我觉得我的胸口像要被压碎一样。;我感觉我的胸部要压扁了
;et vous savez que des gens me toussent dessus tout le temps;	人们一直在冲我咳嗽;你知道人们总是对我咳嗽 ;总有人对着我咳嗽。;人们一直在冲我咳嗽
;et vous avez des douleurs dans la poitrine;您现在出现胸痛症状;并且你胸痛 ;您胸口疼吗？;您感到胸痛
;et vos symptômes ne disparaissent pas en cinq jours;您的症状五天内不会消失;并且你的症状在五天内没有消失 ;如果五天内症状没有好转，就要注意了。;您的症状五天内不会消失
;et vous avez dit ressentir une pression dans la poitrine;您曾说感觉胸部受到挤压;你说你感到胸部有压力 ;您说感觉到胸口有压迫感。;您曾说感觉胸部受到挤压
;Des cas de problème cardiaque, de pathologie cardiaque, de crise cardiaque, de taux élevé de cholestérol ou de tension artérielle élevée dans la famille ?;家中有没有亲属患有心脏问题、心脏病、心肌梗死、高胆固醇和高血压;家族有心脏病、心脏病、心脏病发作、高胆固醇或高血压病史吗？ ;您的家人中有没有人有心脏病、心脏问题、心脏病发作、高胆固醇或高血压的病史？;家中有没有亲属患有心脏问题、心脏病、心肌梗死、心肌梗死、高胆固醇和高血压
;remarquez-vous d’autres symptômes ou problèmes en plus des douleurs musculaires ?;除了肌肉酸痛，您还有任何其他症状或问题吗？;除了肌肉疼痛之外，您是否注意到任何其他症状或问题？ ;除了肌肉疼痛，您还注意到其他症状或问题吗？;除了肌肉酸痛,您还有什么其他症状或问题吗?
